id,xcoord,ycoord
"1",211105.708537355,9026325.40478427
"1",211002.928287503,9026278.57591304
"1",213396.856675031,9030567.06663393
"1",213410.236352527,9030573.57402253
"1",213419.298043194,9030583.66959737
"1",213426.048698658,9030581.72346246
"1",213388.099067943,9030589.69045224
"1",213456.092156307,9030592.36638774
"1",213467.525698894,9030592.67047132
"1",213461.018310294,9030592.12312088
"1",213475.066971664,9030594.1300725
"1",213487.169498126,9030595.46804025
"1",213481.513543548,9030594.79905638
"1",213492.886269419,9030596.806008
"1",213632.21736552,9030647.83123263
"1",213634.041866997,9030664.61664622
"1",213556.074837228,9030638.70872525
"1",213548.776831321,9030632.14051993
"1",213532.599584895,9030617.78777498
"1",213519.219907399,9030635.78952288
"1",213532.721218327,9030639.92505956
"1",213540.384124528,9030647.7095992
"1",213547.195596708,9030653.18310363
"1",213557.412804977,9030671.30648496
"1",213561.061807931,9030679.33429146
"1",213567.994913542,9030686.14576364
"1",213585.63176115,9030684.92942932
"1",213590.132198125,9030689.18659944
"1",213584.537060264,9030703.78261125
"1",213584.172159968,9030718.62188992
"1",213578.698655538,9030728.96073163
"1",213697.838601964,9030817.6923201
"1",213702.095772077,9030824.38215885
"1",213705.866408462,9030832.34914863
"1",213706.839475916,9030838.18755336
"1",213714.684832266,9030828.82177911
"1",213719.185269241,9030826.75401077
"1",213723.807339649,9030824.32134214
"1",213787.786524764,9030967.84879163
"1",213790.94899399,9030972.47086204
"1",213793.868196353,9030976.72803215
"1",213795.692697829,9030981.22846913
"1",213799.706601078,9030984.63420522
"1",213801.409469123,9030989.25627563
"1",213804.328671486,9030993.14854544
"1",213805.788272667,9030997.16244869
"1",213808.70747503,9031002.1494194
"1",213811.140143665,9031006.16332264
"1",213814.91078005,9031009.93395903
"1",213204.432585959,9032435.72104632
"1",213195.431712008,9032443.44476924
"1",213016.813017442,9032998.76220202
"1",212994.189199132,9033037.68490019
"1",213027.881659734,9033007.8847094
"1",213024.962457371,9033011.53371236
"1",213023.867756485,9033017.00721679
"1",213020.948554123,9033021.14275347
"1",213018.515885487,9033026.49462446
"1",213017.299551169,9033029.90036055
"1",213013.528914784,9033034.40079753
"1",213013.407281353,9033040.72573598
"1",213010.366445558,9033044.2531055
"1",213007.812143491,9033048.87517591
"1",213006.109275446,9033053.98378005
"1",213003.554973379,9033058.97075075
"1",212999.054536403,9033063.22792086
"1",212983.607090567,9033087.55460722
"1",212821.104825712,9033214.29664313
"1",212882.772975624,9038254.17788883
"1",212880.46194042,9038259.52975983
"1",212878.272538648,9038263.54366308
"1",212874.866802558,9038267.67919976
"1",212872.799034218,9038272.30127017
"1",212884.5974771,9038286.04584796
"1",212874.98843599,9038299.42552545
"1",213079.57586824,9038288.96505032
"1",213082.738337466,9038299.18225859
"1",213403.120796768,9038358.41773986
"1",213415.162506514,9038352.21443484
"1",213432.312820394,9038368.39168127
"1",213471.843685722,9038352.45770171
"1",213651.982798184,9038448.06157908
"1",213661.591839295,9038453.17018322
"1",213777.873400074,9038337.74005646
"1",213800.375584953,9038338.71312392
"1",214423.868556244,9038310.06845074
"1",214432.747796764,9038312.80520295
"1",215628.526064568,9038961.7803782
"1",215685.815410935,9039006.23739752
"1",215688.612979866,9038907.34941748
"1",215724.312392093,9038921.76297915
"1",215862.974504319,9038983.79602935
"1",215878.057049859,9038991.09403526
"1",215906.458456179,9038996.38508954
"1",215961.801667638,9039035.24697099
"1",215969.829474135,9039052.27565144
"1",216054.607976084,9039244.57810708
"1",216145.468149622,9039315.73366467
"1",216343.487376556,9039446.85450413
"1",216309.55164909,9039719.79992503
"1",216322.809693153,9039744.36987825
"1",216414.399667282,9039718.46195729
"1",216427.779344777,9039768.39248103
"1",216333.026901423,9039765.38205359
"1",216337.101621387,9039770.30820758
"1",216343.183292976,9039795.97286168
"1",216345.615961612,9039806.43333682
"1",216353.704584825,9039826.19876948
"1",216344.582077441,9039869.01373747
"1",216359.907889845,9039882.02851467
"1",216363.191992503,9039894.07022441
"1",216366.840995457,9039910.73400456
"1",216374.139001363,9039912.55850604
"1",216370.48999841,9039936.76355896
"1",216379.125972066,9039968.87478495
"1",216380.950473543,9039977.87565891
"1",216440.185954819,9039826.19876948
"1",216436.780218729,9039832.52370793
"1",216444.443124931,9039830.57757302
"1",216449.916629361,9039828.38817125
"1",216451.984397701,9039822.42813309
"1",216446.510893271,9039848.82258779
"1",216443.591690908,9039856.12059369
"1",216444.808025226,9039860.13449694
"1",216446.754160135,9039864.02676676
"1",216445.78109268,9039868.28393687
"1",216459.282403608,9039910.12583741
"1",216462.079972538,9039924.35694892
"1",216469.499611877,9039945.88606635
"1",216467.6751104,9039976.78095802
"1",216378.03127118,9040017.52815766
"1",216470.959213058,9040000.74274408
"1",216471.932280512,9040019.47429257
"1",216386.302344541,9040032.85397006
"1",216389.343180336,9040050.36918424
"1",216397.85752056,9040071.77666823
"1",216411.237198055,9040121.64637526
"1",216415.859268463,9040134.0529853
"1",216530.559594629,9040140.74282405
"1",216521.193820382,9040118.11900574
"1",216513.166013885,9040099.14419038
"1",216429.238945959,9040190.36926421
"1",216524.599556472,9040182.09819085
"1",216497.11040089,9040154.85230213
"1",216499.603886242,9040164.09644295
"1",216430.820180572,9040209.8306133
"1",216442.618623454,9040250.94271324
"1",216435.685517843,9040258.36235257
"1",216437.753286183,9040263.34932328
"1",216445.294558953,9040281.71597148
"1",216522.227704552,9040253.01048158
"1",216522.470971416,9040260.24767077
"1",216524.660373188,9040266.57260922
"1",216525.998340938,9040273.50571483
"1",216526.302424517,9040279.46575299
"1",216528.370192857,9040287.67600963
"1",216530.25551105,9040300.38670326
"1",216445.78109268,9040303.36672233
"1",216452.349297996,9040319.05743503
"1",216452.470931428,9040326.11217408
"1",216453.930532609,9040333.16691312
"1",216454.173799473,9040338.88368442
"1",216450.646429951,9040349.58742641
"1",216452.470931428,9040358.3450335
"1",216508.787210341,9040516.8333951
"1",216532.748996401,9040684.74834767
"1",216545.885407033,9040719.77877602
"1",216647.570955999,9040652.63712168
"1",216589.673442472,9040732.48946964
"1",216679.910244655,9040711.02116894
"1",216681.734746131,9040691.98553687
"1",216676.686958714,9040675.01767314
"1",216671.031004137,9040673.13235495
"1",216685.201298936,9040747.20711488
"1",216686.417633254,9040751.58591843
"1",216691.039703661,9040761.92476013
"1",216698.459342998,9040775.18280419
"1",216704.905914881,9040952.28108082
"1",216723.029296212,9040973.08039765
"1",216730.570568981,9040980.13513669
"1",216734.219571933,9040983.29760592
"1",216738.355108613,9040989.50091094
"1",216740.088385016,9040995.61299088
"1",216736.439382063,9040997.86320937
"1",216744.89290557,9041002.91099679
"1",216749.150075681,9041008.6885848
"1",216753.103162213,9041016.16904085
"1",216757.360332325,9041023.2845966
"1",216761.799952584,9041031.3124031
"1",216769.82775908,9041046.6382155
"1",216843.659252154,9041017.68945874
"1",216778.038015723,9041063.91016281
"1",216781.078851517,9041072.3028696
"1",216788.680941001,9041080.51312624
"1",216793.363828124,9041092.85891957
"1",216800.296933734,9041098.63650757
"1",216803.216136096,9041105.81288005
"1",216812.460276909,9041130.62610013
"1",216822.799118609,9041147.28988028
"1",216827.299555583,9041154.22298589
"1",216832.164892854,9041161.64262523
"1",216833.98939433,9041168.94063113
"1",216838.246564441,9041175.75210331
"1",216842.503734553,9041182.56357549
"1",216848.402955993,9041194.78773538
"1",216853.876460422,9041191.74689959
"1",216845.727020494,9041187.91544649
"1",216856.978112932,9041199.71388936
"1",216851.018074776,9041201.59920756
"1",216861.296099759,9041215.31337699
"1",216858.194447249,9041206.46454483
"1",216865.796536734,9041222.09444081
"1",216874.310876957,9041224.16220915
"1",216869.263089539,9041227.87202881
"1",216876.500278728,9041229.69653029
"1",216873.094542639,9041234.74431771
"1",216884.254410002,9041246.26908537
"1",216887.416879228,9041253.38464113
"1",216889.971181295,9041251.19523936
"1",216893.985084543,9041258.37161183
"1",216890.609756812,9041261.26040583
"1",216895.961627809,9041267.55493592
"1",216902.894733419,9041284.03626593
"1",216917.673195377,9041295.10490822
"1",216982.868714797,9041233.49757504
"1",216986.031184023,9041226.0779357
"1",217005.918250115,9041237.99801201
"1",217013.459522884,9041256.48629364
"1",217015.831374803,9041265.12226729
"1",217053.05120492,9041267.19003563
"1",216927.343053202,9041308.97111944
"1",216934.458608959,9041313.47155641
"1",216938.594145639,9041316.93810922
"1",216943.581116341,9041322.59406379
"1",216953.372607597,9041331.23003745
"1",216982.321364355,9041358.78000974
"1",217009.080719341,9041377.51155823
"1",217045.449115435,9041404.51418008
"1",217054.81488968,9041408.28481646
"1",217098.359658248,9041449.64018326
"1",217116.969573307,9041458.39779035
"1",217136.309288955,9041481.26487552
"1",217143.91137844,9041487.46818054
"1",217148.533448847,9041488.38043128
"1",217155.649004604,9041490.44819962
