"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"68",213481.513543548,9030594.79905638,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"69",213492.886269419,9030596.806008,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"70",213632.21736552,9030647.83123263,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"71",213634.041866997,9030664.61664622,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"72",213556.074837228,9030638.70872525,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"73",213548.776831321,9030632.14051993,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"74",213532.599584895,9030617.78777498,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"75",213519.219907399,9030635.78952288,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"76",213532.721218327,9030639.92505956,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"77",213540.384124528,9030647.7095992,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"78",213547.195596708,9030653.18310363,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"79",213557.412804977,9030671.30648496,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"80",213561.061807931,9030679.33429146,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"81",213567.994913542,9030686.14576364,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"82",213585.63176115,9030684.92942932,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"83",213590.132198125,9030689.18659944,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"84",213584.537060264,9030703.78261125,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"85",213584.172159968,9030718.62188992,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"86",213578.698655538,9030728.96073163,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"87",213697.838601964,9030817.6923201,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"88",213702.095772077,9030824.38215885,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"89",213705.866408462,9030832.34914863,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"90",213706.839475916,9030838.18755336,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"91",213714.684832266,9030828.82177911,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"92",213719.185269241,9030826.75401077,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"93",213723.807339649,9030824.32134214,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"94",213787.786524764,9030967.84879163,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"95",213790.94899399,9030972.47086204,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"96",213793.868196353,9030976.72803215,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"97",213795.692697829,9030981.22846913,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"98",213799.706601078,9030984.63420522,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"99",213801.409469123,9030989.25627563,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"100",213804.328671486,9030993.14854544,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"101",213805.788272667,9030997.16244869,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"102",213808.70747503,9031002.1494194,1,1,1,1,1,1,1,1,1,1,1,1,1,21
